Profession,Name,Tool,.,Consumes,Produces,,Prof,Focus,Success%,HQ%,AD used/try,Success cost,AD produced/try,Margin%,Net profit,Commission,Dab Hand?,Unlock,,Base commission,Artisan %,Commission,Commissioncost,Success%,HQ%,AD used,AD produced,AVGsucces%,Fail%,Normal%,HQ%,Dab%,DabHQ%,Recycle%,Recyclex100,Dabx100,DabHQx100,Normalx100,HQx100,,Con1,Con1 #,Con2,Con2 #,Con3,Con3 #,Con4,Con4 #,Con5,Con5 #,PCON1,PCON2,PCON3,PCON4,PCON5,TOTAL CON,T3prod1,#,ProdReg,ProdHQ,ProdHQfallback,Profession,Name,Tool,Unlock,Consumes,Produces,Dab Hand?
Alchemy,Adept's Medicinal Tea,#N/A,12x,Chultan Tea Leaves,3x,Adept's Medicinal Tea,1400,1400,79.43%,6.14%,"74,300","88,958",No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,74300,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"458,537",0,0,0,0,,Chultan Tea Leaves,12,Woad,10,Senna Leaves,6,Honey,3,Chultan Spring Water,3,52800,20000,0,0,1500,74300,Adept's Medicinal Tea,3,0,0,0,Alchemy,Adept's Medicinal Tea,,Chultan Masterwork - Alchemy II,Chultan Tea Leaves,Adept's Medicinal Tea,No
Alchemy,,,10x,Woad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Woad,,
Alchemy,,,6x,Senna Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Senna Leaves,,
Alchemy,,,3x,Honey,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,,,3x,Chultan Spring Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Chultan Spring Water,,
Alchemy,Workman's Incense,#N/A,12x,Bronzewood Lumber,3x,Workman's Incense,1400,1400,79.43%,6.14%,0,0,No AH value,,,1.2500,No,Chultan Masterwork - Alchemy II,,5,-75,1.25,0,0.7942857143,0.06142857143,0,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,0,0,0,0,0,,Bronzewood Lumber,12,,,,,,,,,0,-999,-999,-999,-999,0,Workman's Incense,3,0,0,0,Alchemy,Workman's Incense,,Chultan Masterwork - Alchemy II,Bronzewood Lumber,Workman's Incense,No
Alchemy,Distilled Philosopher's Bounty,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Bounty,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Myrrh,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Bounty,1,0,0,0,Alchemy,Distilled Philosopher's Bounty,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Bounty,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Myrrh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Myrrh,,
Alchemy,Distilled Philosopher's Calm,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Calm,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Volcanic Salt,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Calm,1,0,0,0,Alchemy,Distilled Philosopher's Calm,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Calm,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Volcanic Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Volcanic Salt,,
Alchemy,Distilled Philosopher's Keep,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Keep,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Wild Mint,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Keep,1,0,0,0,Alchemy,Distilled Philosopher's Keep,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Keep,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Wild Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,Distilled Philosopher's Focus,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Focus,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Sugar Beet,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Focus,1,0,0,0,Alchemy,Distilled Philosopher's Focus,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Focus,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Sugar Beet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Sugar Beet,,
Alchemy,Distilled Philosopher's Quick,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Quick,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Sword Coast Tea Leaves,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Quick,1,0,0,0,Alchemy,Distilled Philosopher's Quick,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Quick,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Sword Coast Tea Leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Sword Coast Tea Leaves,,
Alchemy,Distilled Philosopher's Haste,#N/A,6x,Chultan Spring Water,1x,Distilled Philosopher's Haste,1400,1400,79.43%,6.14%,"13,000","15,565",No AH value,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,0.7942857143,0.06142857143,13000,No AH value,79.43%,20.57%,74.55%,4.88%,0.00%,0.00%,6.17%,"80,229",0,0,0,0,,Chultan Spring Water,6,Alkali,1,Honey,1,,,,,3000,10000,0,-999,-999,13000,Distilled Philosopher's Haste,1,0,0,0,Alchemy,Distilled Philosopher's Haste,,Chultan Masterwork - Alchemy II,Chultan Spring Water,Distilled Philosopher's Haste,No
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Accuracy Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Accuracy Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Wyllowwood Lemon,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Accuracy Rank 5,12,0,0,0,Alchemy,Crafted Potion of Accuracy Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Accuracy Rank 5,No
Alchemy,,,3x,Wyllowwood Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wyllowwood Lemon,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Awareness Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Awareness Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Nightleaf Tea,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Awareness Rank 5,12,0,0,0,Alchemy,Crafted Potion of Awareness Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Awareness Rank 5,No
Alchemy,,,3x,Nightleaf Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Nightleaf Tea,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Combat Advantage Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Combat Advantage Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Wyllowwood Walnut,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Combat Advantage Rank 5,12,0,0,0,Alchemy,Crafted Potion of Combat Advantage Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Combat Advantage Rank 5,No
Alchemy,,,3x,Wyllowwood Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wyllowwood Walnut,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Critical Avoidance Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Critical Avoidance Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Twisted Toadstool,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Critical Avoidance Rank 5,12,0,0,0,Alchemy,Crafted Potion of Critical Avoidance Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Critical Avoidance Rank 5,No
Alchemy,,,3x,Twisted Toadstool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Twisted Toadstool,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Critical Strike Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Critical Strike Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Worm Blood,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Critical Strike Rank 5,12,0,0,0,Alchemy,Crafted Potion of Critical Strike Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Critical Strike Rank 5,No
Alchemy,,,3x,Worm Blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Worm Blood,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Defense Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Defense Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Mysterious Bone,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Defense Rank 5,12,0,0,0,Alchemy,Crafted Potion of Defense Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Defense Rank 5,No
Alchemy,,,3x,Mysterious Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Mysterious Bone,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
Alchemy,,,1x,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Honey,,
Alchemy,Crafted Potion of Deflect Rank 5,#N/A,12x,Sparkling Water,12x,Crafted Potion of Deflect Rank 5,1050,1126,105.90%,#N/A,"10,000","9,620",#N/A,,,0.5000,No,Chultan Masterwork - Alchemy II,,2,-75,0.5,0,1.059047619,#N/A,10000,#N/A,#N/A,-5.90%,#N/A,#N/A,0.00%,0.00%,-1.77%,"-17,714",0,0,#N/A,#N/A,,Sparkling Water,12,Dream Moss,3,Alkali,1,Wild Mint,3,Honey,1,0,0,10000,0,0,10000,Crafted Potion of Deflect Rank 5,12,0,0,0,Alchemy,Crafted Potion of Deflect Rank 5,,Chultan Masterwork - Alchemy II,Sparkling Water,Crafted Potion of Deflect Rank 5,No
Alchemy,,,3x,Dream Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Dream Moss,,
Alchemy,,,1x,Alkali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Alkali,,
Alchemy,,,3x,Wild Mint,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alchemy,,,,Wild Mint,,
